source_species	input_gene	normalized_gene	human_ensembl	human_symbol	status	reason	updated_at
mouse	Cdk4	Cdk4	ENSG00000135446	CDK4	mapped		2026-05-26T14:20:58+00:00
mouse	Cdk5	Cdk5	ENSG00000164885	CDK5	mapped		2026-05-26T14:21:01+00:00
mouse	Cdk5r1	Cdk5r1	ENSG00000176749	CDK5R1	mapped		2026-05-26T14:21:04+00:00
mouse	Cdkn1c	Cdkn1c	ENSG00000129757	CDKN1C	mapped		2026-05-26T14:21:07+00:00
mouse	Cdkn2b	Cdkn2b	ENSG00000147883	CDKN2B	mapped		2026-05-26T14:21:09+00:00
mouse	Ceacam10	Ceacam10			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:21:13+00:00
mouse	Cela1	Cela1	ENSG00000139610	CELA1	mapped		2026-05-26T14:21:16+00:00
mouse	Cenpa	Cenpa	ENSG00000115163	CENPA	mapped		2026-05-26T14:21:19+00:00
mouse	Cenpe	Cenpe	ENSG00000138778	CENPE	mapped		2026-05-26T14:21:22+00:00
mouse	Cenpf	Cenpf	ENSG00000117724	CENPF	mapped		2026-05-26T14:21:25+00:00
mouse	Cfap126	Cfap126	ENSG00000188931	CFAP126	mapped		2026-05-26T14:21:27+00:00
mouse	Cfh	Cfh			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:21:30+00:00
mouse	Ch25h	Ch25h	ENSG00000138135	CH25H	mapped		2026-05-26T14:21:33+00:00
mouse	Chat	Chat	ENSG00000070748	CHAT	mapped		2026-05-26T14:21:36+00:00
mouse	Chd4	Chd4	ENSG00000111642	CHD4	mapped		2026-05-26T14:21:40+00:00
mouse	Chml	Chml	ENSG00000203668	CHML	mapped		2026-05-26T14:21:43+00:00
mouse	Chmp2b	Chmp2b	ENSG00000083937	CHMP2B	mapped		2026-05-26T14:21:46+00:00
mouse	Chn2	Chn2	ENSG00000106069	CHN2	mapped		2026-05-26T14:21:49+00:00
mouse	Chodl	Chodl	ENSG00000154645	CHODL	mapped		2026-05-26T14:21:53+00:00
mouse	Chrm2	Chrm2	ENSG00000181072	CHRM2	mapped		2026-05-26T14:21:56+00:00
mouse	Chrm3	Chrm3	ENSG00000133019	CHRM3	mapped		2026-05-26T14:21:59+00:00
mouse	Chrna2	Chrna2	ENSG00000120903	CHRNA2	mapped		2026-05-26T14:22:03+00:00
mouse	Chrna4	Chrna4	ENSG00000101204	CHRNA4	mapped		2026-05-26T14:22:06+00:00
mouse	Chrna5	Chrna5	ENSG00000169684	CHRNA5	mapped		2026-05-26T14:22:09+00:00
mouse	Chrna6	Chrna6	ENSG00000147434	CHRNA6	mapped		2026-05-26T14:22:12+00:00
mouse	Chrnb1	Chrnb1	ENSG00000170175	CHRNB1	mapped		2026-05-26T14:22:15+00:00
mouse	Chrnb3	Chrnb3	ENSG00000147432	CHRNB3	mapped		2026-05-26T14:22:18+00:00
mouse	Chrnd	Chrnd	ENSG00000135902	CHRND	mapped		2026-05-26T14:22:22+00:00
mouse	Chst8	Chst8	ENSG00000124302	CHST8	mapped		2026-05-26T14:22:25+00:00
mouse	Cited1	Cited1	ENSG00000125931	CITED1	mapped		2026-05-26T14:22:28+00:00
mouse	Ckb	Ckb	ENSG00000166165	CKB	mapped		2026-05-26T14:22:31+00:00
mouse	Cks2	Cks2	ENSG00000123975	CKS2	mapped		2026-05-26T14:22:34+00:00
mouse	Clca3a1	Clca3a1			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:22:36+00:00
mouse	Clcf1	Clcf1	ENSG00000175505	CLCF1	mapped		2026-05-26T14:22:43+00:00
mouse	Clcn3	Clcn3	ENSG00000109572	CLCN3	mapped		2026-05-26T14:22:46+00:00
mouse	Cldn10	Cldn10	ENSG00000134873	CLDN10	mapped		2026-05-26T14:22:50+00:00
mouse	Cldn11	Cldn11	ENSG00000013297	CLDN11	mapped		2026-05-26T14:22:53+00:00
mouse	Cldn19	Cldn19	ENSG00000164007	CLDN19	mapped		2026-05-26T14:22:56+00:00
mouse	Cldn5	Cldn5	ENSG00000184113	CLDN5	mapped		2026-05-26T14:22:59+00:00
mouse	Cldnd1	Cldnd1	ENSG00000080822	CLDND1	mapped		2026-05-26T14:23:03+00:00
mouse	Clec18a	Clec18a			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:23:06+00:00
mouse	Clec2l	Clec2l	ENSG00000236279	CLEC2L	mapped		2026-05-26T14:23:09+00:00
mouse	Clec3a	Clec3a	ENSG00000166509	CLEC3A	mapped		2026-05-26T14:23:12+00:00
mouse	Clec7a	Clec7a	ENSG00000172243	CLEC7A	mapped		2026-05-26T14:23:15+00:00
mouse	Clic5	Clic5	ENSG00000112782	CLIC5	mapped		2026-05-26T14:23:18+00:00
mouse	Clic6	Clic6	ENSG00000159212	CLIC6	mapped		2026-05-26T14:23:21+00:00
mouse	Clptm1	Clptm1	ENSG00000104853	CLPTM1	mapped		2026-05-26T14:23:25+00:00
mouse	Clrn1	Clrn1	ENSG00000163646	CLRN1	mapped		2026-05-26T14:23:28+00:00
mouse	Clta	Clta	ENSG00000122705	CLTA	mapped		2026-05-26T14:23:31+00:00
mouse	Cltb	Cltb	ENSG00000175416	CLTB	mapped		2026-05-26T14:23:35+00:00
mouse	Clu	Clu	ENSG00000120885	CLU	mapped		2026-05-26T14:23:38+00:00
mouse	Cmtm3	Cmtm3	ENSG00000140931	CMTM3	mapped		2026-05-26T14:23:41+00:00
mouse	Cnksr3	Cnksr3	ENSG00000153721	CNKSR3	mapped		2026-05-26T14:23:44+00:00
mouse	Cnn3	Cnn3	ENSG00000117519	CNN3	mapped		2026-05-26T14:23:46+00:00
mouse	Cnr1	Cnr1	ENSG00000118432	CNR1	mapped		2026-05-26T14:23:50+00:00
mouse	Cntn2	Cntn2	ENSG00000184144	CNTN2	mapped		2026-05-26T14:23:53+00:00
mouse	Cntn4	Cntn4	ENSG00000144619	CNTN4	mapped		2026-05-26T14:23:57+00:00
mouse	Cntn6	Cntn6	ENSG00000134115	CNTN6	mapped		2026-05-26T14:24:00+00:00
mouse	Cntnap2	Cntnap2	ENSG00000174469	CNTNAP2	mapped		2026-05-26T14:24:03+00:00
mouse	Cntnap3	Cntnap3			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:24:06+00:00
mouse	Cntnap4	Cntnap4	ENSG00000152910	CNTNAP4	mapped		2026-05-26T14:24:09+00:00
mouse	Cobll1	Cobll1	ENSG00000082438	COBLL1	mapped		2026-05-26T14:24:13+00:00
mouse	Col10a1	Col10a1			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:24:16+00:00
mouse	Col11a1	Col11a1	ENSG00000060718	COL11A1	mapped		2026-05-26T14:24:19+00:00
mouse	Col12a1	Col12a1	ENSG00000111799	COL12A1	mapped		2026-05-26T14:24:22+00:00
mouse	Col15a1	Col15a1	ENSG00000204291	COL15A1	mapped		2026-05-26T14:24:25+00:00
mouse	Col19a1	Col19a1	ENSG00000082293	COL19A1	mapped		2026-05-26T14:24:28+00:00
mouse	Col20a1	Col20a1	ENSG00000101203	COL20A1	mapped		2026-05-26T14:24:30+00:00
mouse	Col23a1	Col23a1	ENSG00000050767	COL23A1	mapped		2026-05-26T14:24:34+00:00
mouse	Col24a1	Col24a1			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:24:36+00:00
mouse	Col25a1	Col25a1	ENSG00000188517	COL25A1	mapped		2026-05-26T14:24:40+00:00
mouse	Col3a1	Col3a1	ENSG00000168542	COL3A1	mapped		2026-05-26T14:24:43+00:00
mouse	Col5a2	Col5a2	ENSG00000204262	COL5A2	mapped		2026-05-26T14:24:46+00:00
mouse	Col5a3	Col5a3	ENSG00000080573	COL5A3	mapped		2026-05-26T14:24:49+00:00
mouse	Col6a1	Col6a1	ENSG00000142156	COL6A1	mapped		2026-05-26T14:24:52+00:00
mouse	Col8a1	Col8a1	ENSG00000144810	COL8A1	mapped		2026-05-26T14:24:56+00:00
mouse	Col9a2	Col9a2	ENSG00000049089	COL9A2	mapped		2026-05-26T14:24:59+00:00
mouse	Colq	Colq	ENSG00000206561	COLQ	mapped		2026-05-26T14:25:03+00:00
mouse	Comt	Comt	ENSG00000093010	COMT	mapped		2026-05-26T14:25:06+00:00
mouse	Coq10b	Coq10b	ENSG00000115520	COQ10B	mapped		2026-05-26T14:25:10+00:00
mouse	Corin	Corin	ENSG00000145244	CORIN	mapped		2026-05-26T14:25:13+00:00
mouse	Coro1a	Coro1a	ENSG00000102879	CORO1A	mapped		2026-05-26T14:25:16+00:00
mouse	Coro6	Coro6	ENSG00000167549	CORO6	mapped		2026-05-26T14:25:22+00:00
mouse	Cp	Cp	ENSG00000047457	CP	mapped		2026-05-26T14:25:29+00:00
mouse	Cpa6	Cpa6	ENSG00000165078	CPA6	mapped		2026-05-26T14:25:32+00:00
mouse	Cpe	Cpe	ENSG00000109472	CPE	mapped		2026-05-26T14:25:35+00:00
mouse	Cpeb3	Cpeb3	ENSG00000107864	CPEB3	mapped		2026-05-26T14:25:38+00:00
mouse	Cpeb4	Cpeb4	ENSG00000113742	CPEB4	mapped		2026-05-26T14:25:42+00:00
mouse	Cplx1	Cplx1	ENSG00000168993	CPLX1	mapped		2026-05-26T14:25:45+00:00
mouse	Cplx2	Cplx2	ENSG00000145920	CPLX2	mapped		2026-05-26T14:25:48+00:00
mouse	Cpne8	Cpne8	ENSG00000139117	CPNE8	mapped		2026-05-26T14:25:51+00:00
mouse	Cpsf2	Cpsf2	ENSG00000165934	CPSF2	mapped		2026-05-26T14:25:55+00:00
mouse	Cpxm2	Cpxm2	ENSG00000121898	CPXM2	mapped		2026-05-26T14:25:58+00:00
mouse	Crcp	Crcp	ENSG00000241258	CRCP	mapped		2026-05-26T14:26:01+00:00
mouse	Crct1	Crct1			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:26:04+00:00
mouse	Creb1	Creb1	ENSG00000118260	CREB1	mapped		2026-05-26T14:26:08+00:00
mouse	Creb5	Creb5	ENSG00000146592	CREB5	mapped		2026-05-26T14:26:11+00:00
mouse	Crem	Crem	ENSG00000095794	CREM	mapped		2026-05-26T14:26:15+00:00
mouse	Crh	Crh	ENSG00000147571	CRH	mapped		2026-05-26T14:26:18+00:00
mouse	Crhbp	Crhbp	ENSG00000145708	CRHBP	mapped		2026-05-26T14:26:21+00:00
mouse	Crim1	Crim1	ENSG00000150938	CRIM1	mapped		2026-05-26T14:26:24+00:00
mouse	Crip1	Crip1	ENSG00000213145	CRIP1	mapped		2026-05-26T14:26:27+00:00
mouse	Cript	Cript	ENSG00000119878	CRIPT	mapped		2026-05-26T14:26:30+00:00
mouse	Crispld1	Crispld1	ENSG00000121005	CRISPLD1	mapped		2026-05-26T14:26:34+00:00
mouse	Crkl	Crkl	ENSG00000099942	CRKL	mapped		2026-05-26T14:26:37+00:00
mouse	Crtc1	Crtc1	ENSG00000105662	CRTC1	mapped		2026-05-26T14:26:40+00:00
mouse	Cryab	Cryab	ENSG00000109846	CRYAB	mapped		2026-05-26T14:26:44+00:00
mouse	Crybb1	Crybb1	ENSG00000100122	CRYBB1	mapped		2026-05-26T14:26:47+00:00
mouse	Crym	Crym	ENSG00000103316	CRYM	mapped		2026-05-26T14:26:51+00:00
mouse	Csf1	Csf1	ENSG00000184371	CSF1	mapped		2026-05-26T14:26:54+00:00
mouse	Csf1r	Csf1r	ENSG00000182578	CSF1R	mapped		2026-05-26T14:26:58+00:00
mouse	Csf3r	Csf3r	ENSG00000119535	CSF3R	mapped		2026-05-26T14:27:01+00:00
mouse	Csmd1	Csmd1	ENSG00000183117	CSMD1	mapped		2026-05-26T14:27:05+00:00
mouse	Csnk2b	Csnk2b	ENSG00000204435	CSNK2B	mapped		2026-05-26T14:27:07+00:00
mouse	Cspg4	Cspg4	ENSG00000173546	CSPG4	mapped		2026-05-26T14:27:11+00:00
mouse	Cspg5	Cspg5	ENSG00000114646	CSPG5	mapped		2026-05-26T14:27:14+00:00
mouse	Csrnp1	Csrnp1	ENSG00000144655	CSRNP1	mapped		2026-05-26T14:27:18+00:00
mouse	Cst3	Cst3			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:27:21+00:00
mouse	Cst7	Cst7	ENSG00000077984	CST7	mapped		2026-05-26T14:27:25+00:00
mouse	Ctbp2	Ctbp2	ENSG00000175029	CTBP2	mapped		2026-05-26T14:27:28+00:00
mouse	Ctla2a	Ctla2a			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:27:31+00:00
mouse	Ctnna2	Ctnna2	ENSG00000066032	CTNNA2	mapped		2026-05-26T14:27:34+00:00
mouse	Ctnnd1	Ctnnd1	ENSG00000198561	CTNND1	mapped		2026-05-26T14:27:37+00:00
mouse	Ctnnd2	Ctnnd2	ENSG00000169862	CTNND2	mapped		2026-05-26T14:27:41+00:00
mouse	Ctps	Ctps			unmapped	ensembl_request_failed:HTTPError	2026-05-26T14:27:42+00:00
mouse	Ctsb	Ctsb	ENSG00000164733	CTSB	mapped		2026-05-26T14:27:45+00:00
mouse	Ctsc	Ctsc	ENSG00000109861	CTSC	mapped		2026-05-26T14:27:49+00:00
mouse	Ctsd	Ctsd	ENSG00000117984	CTSD	mapped		2026-05-26T14:27:52+00:00
mouse	Ctsl	Ctsl			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:27:54+00:00
mouse	Ctss	Ctss	ENSG00000163131	CTSS	mapped		2026-05-26T14:27:58+00:00
mouse	Ctxn3	Ctxn3	ENSG00000205279	CTXN3	mapped		2026-05-26T14:28:01+00:00
mouse	Cul3	Cul3	ENSG00000036257	CUL3	mapped		2026-05-26T14:28:04+00:00
mouse	Cux2	Cux2	ENSG00000111249	CUX2	mapped		2026-05-26T14:28:09+00:00
mouse	Cx3cr1	Cx3cr1	ENSG00000168329	CX3CR1	mapped		2026-05-26T14:28:12+00:00
mouse	Cxcl1	Cxcl1			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:28:15+00:00
mouse	Cxcl12	Cxcl12	ENSG00000107562	CXCL12	mapped		2026-05-26T14:28:18+00:00
mouse	Cxcl13	Cxcl13	ENSG00000156234	CXCL13	mapped		2026-05-26T14:28:21+00:00
mouse	Cxcl14	Cxcl14	ENSG00000145824	CXCL14	mapped		2026-05-26T14:28:24+00:00
mouse	Cxcl5	Cxcl5	ENSG00000124875	CXCL6	mapped		2026-05-26T14:28:27+00:00
mouse	Cxcl9	Cxcl9	ENSG00000138755	CXCL9	mapped		2026-05-26T14:28:30+00:00
mouse	Cxcr2	Cxcr2	ENSG00000180871	CXCR2	mapped		2026-05-26T14:28:33+00:00
mouse	Cxcr4	Cxcr4	ENSG00000121966	CXCR4	mapped		2026-05-26T14:28:36+00:00
mouse	Cyfip1	Cyfip1	ENSG00000273749	CYFIP1	mapped		2026-05-26T14:28:39+00:00
mouse	Cyth1	Cyth1	ENSG00000108669	CYTH1	mapped		2026-05-26T14:28:42+00:00
mouse	Cyth3	Cyth3	ENSG00000008256	CYTH3	mapped		2026-05-26T14:28:46+00:00
mouse	Dab2	Dab2	ENSG00000153071	DAB2	mapped		2026-05-26T14:28:49+00:00
mouse	Dach1	Dach1	ENSG00000276644	DACH1	mapped		2026-05-26T14:28:53+00:00
mouse	Dact1	Dact1	ENSG00000165617	DACT1	mapped		2026-05-26T14:28:56+00:00
mouse	Dad1	Dad1	ENSG00000129562	DAD1	mapped		2026-05-26T14:28:59+00:00
mouse	Dag1	Dag1	ENSG00000173402	DAG1	mapped		2026-05-26T14:29:03+00:00
mouse	Dagla	Dagla	ENSG00000134780	DAGLA	mapped		2026-05-26T14:29:06+00:00
mouse	Dbi	Dbi	ENSG00000155368	DBI	mapped		2026-05-26T14:29:10+00:00
mouse	Dbnl	Dbnl	ENSG00000136279	DBNL	mapped		2026-05-26T14:29:16+00:00
mouse	Dbx2	Dbx2	ENSG00000185610	DBX2	mapped		2026-05-26T14:29:20+00:00
mouse	Dcc	Dcc	ENSG00000187323	DCC	mapped		2026-05-26T14:29:23+00:00
mouse	Dcdc2a	Dcdc2a	ENSG00000146038	DCDC2	mapped		2026-05-26T14:29:27+00:00
mouse	Dcn	Dcn	ENSG00000011465	DCN	mapped		2026-05-26T14:29:30+00:00
mouse	Ddc	Ddc	ENSG00000132437	DDC	mapped		2026-05-26T14:29:34+00:00
mouse	Ddit4l	Ddit4l	ENSG00000145358	DDIT4L	mapped		2026-05-26T14:29:36+00:00
mouse	Degs2	Degs2	ENSG00000168350	DEGS2	mapped		2026-05-26T14:29:39+00:00
mouse	Dennd2c	Dennd2c	ENSG00000175984	DENND2C	mapped		2026-05-26T14:29:43+00:00
mouse	Deptor	Deptor	ENSG00000155792	DEPTOR	mapped		2026-05-26T14:29:46+00:00
mouse	Dgat2	Dgat2	ENSG00000062282	DGAT2	mapped		2026-05-26T14:29:50+00:00
mouse	Dgcr8	Dgcr8	ENSG00000128191	DGCR8	mapped		2026-05-26T14:29:53+00:00
mouse	Dgkb	Dgkb	ENSG00000136267	DGKB	mapped		2026-05-26T14:29:57+00:00
mouse	Dgki	Dgki	ENSG00000157680	DGKI	mapped		2026-05-26T14:30:00+00:00
mouse	Diaph1	Diaph1	ENSG00000131504	DIAPH1	mapped		2026-05-26T14:30:03+00:00
mouse	Dicer1	Dicer1	ENSG00000100697	DICER1	mapped		2026-05-26T14:30:06+00:00
mouse	Dkk1	Dkk1	ENSG00000107984	DKK1	mapped		2026-05-26T14:30:10+00:00
mouse	Dkk2	Dkk2	ENSG00000155011	DKK2	mapped		2026-05-26T14:30:12+00:00
mouse	Dkkl1	Dkkl1	ENSG00000104901	DKKL1	mapped		2026-05-26T14:30:15+00:00
mouse	Dlc1	Dlc1	ENSG00000164741	DLC1	mapped		2026-05-26T14:30:18+00:00
mouse	Dlg1	Dlg1	ENSG00000075711	DLG1	mapped		2026-05-26T14:30:22+00:00
mouse	Dlg2	Dlg2	ENSG00000150672	DLG2	mapped		2026-05-26T14:30:25+00:00
mouse	Dlgap3	Dlgap3	ENSG00000116544	DLGAP3	mapped		2026-05-26T14:30:28+00:00
mouse	Dlk1	Dlk1	ENSG00000185559	DLK1	mapped		2026-05-26T14:30:32+00:00
mouse	Dlx1as	Dlx1as			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:30:34+00:00
mouse	Dlx2	Dlx2	ENSG00000115844	DLX2	mapped		2026-05-26T14:30:37+00:00
mouse	Dmd	Dmd	ENSG00000198947	DMD	mapped		2026-05-26T14:30:41+00:00
mouse	Dmxl1	Dmxl1	ENSG00000172869	DMXL1	mapped		2026-05-26T14:30:47+00:00
mouse	Dnm2	Dnm2	ENSG00000079805	DNM2	mapped		2026-05-26T14:30:50+00:00
mouse	Dnm3	Dnm3	ENSG00000197959	DNM3	mapped		2026-05-26T14:30:54+00:00
mouse	Dock1	Dock1	ENSG00000150760	DOCK1	mapped		2026-05-26T14:30:58+00:00
mouse	Dock10	Dock10	ENSG00000135905	DOCK10	mapped		2026-05-26T14:31:00+00:00
mouse	Dock5	Dock5	ENSG00000147459	DOCK5	mapped		2026-05-26T14:31:04+00:00
mouse	Dock8	Dock8	ENSG00000107099	DOCK8	mapped		2026-05-26T14:31:13+00:00
mouse	Dpy19l1	Dpy19l1	ENSG00000173852	DPY19L1	mapped		2026-05-26T14:31:22+00:00
mouse	Dpyd	Dpyd	ENSG00000188641	DPYD	mapped		2026-05-26T14:31:29+00:00
mouse	Dpysl2	Dpysl2	ENSG00000092964	DPYSL2	mapped		2026-05-26T14:31:33+00:00
mouse	Drd5	Drd5	ENSG00000169676	DRD5	mapped		2026-05-26T14:31:36+00:00
mouse	Drp2	Drp2	ENSG00000102385	DRP2	mapped		2026-05-26T14:31:40+00:00
mouse	Dsg2	Dsg2	ENSG00000046604	DSG2	mapped		2026-05-26T14:31:44+00:00
mouse	Dst	Dst	ENSG00000151914	DST	mapped		2026-05-26T14:31:47+00:00
mouse	Dusp1	Dusp1	ENSG00000120129	DUSP1	mapped		2026-05-26T14:31:51+00:00
mouse	Dusp4	Dusp4	ENSG00000120875	DUSP4	mapped		2026-05-26T14:31:54+00:00
mouse	Dusp5	Dusp5	ENSG00000138166	DUSP5	mapped		2026-05-26T14:31:57+00:00
mouse	Dusp6	Dusp6	ENSG00000139318	DUSP6	mapped		2026-05-26T14:32:00+00:00
mouse	Dvl1	Dvl1	ENSG00000107404	DVL1	mapped		2026-05-26T14:32:04+00:00
mouse	Dynll2	Dynll2	ENSG00000264364	DYNLL2	mapped		2026-05-26T14:32:07+00:00
mouse	E330013p04rik	E330013p04rik			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:32:10+00:00
mouse	Ebf1	Ebf1	ENSG00000164330	EBF1	mapped		2026-05-26T14:32:13+00:00
mouse	Ebf2	Ebf2	ENSG00000221818	EBF2	mapped		2026-05-26T14:32:16+00:00
mouse	Ebf3	Ebf3	ENSG00000108001	EBF3	mapped		2026-05-26T14:32:19+00:00
mouse	Echdc3	Echdc3	ENSG00000134463	ECHDC3	mapped		2026-05-26T14:32:23+00:00
mouse	Ecscr	Ecscr	ENSG00000249751	ECSCR	mapped		2026-05-26T14:32:25+00:00
mouse	Edil3	Edil3	ENSG00000164176	EDIL3	mapped		2026-05-26T14:32:29+00:00
mouse	Edn3	Edn3	ENSG00000124205	EDN3	mapped		2026-05-26T14:32:31+00:00
mouse	Ednrb	Ednrb	ENSG00000136160	EDNRB	mapped		2026-05-26T14:32:35+00:00
mouse	Eef2k	Eef2k	ENSG00000103319	EEF2K	mapped		2026-05-26T14:32:38+00:00
mouse	Efhd1	Efhd1	ENSG00000115468	EFHD1	mapped		2026-05-26T14:32:42+00:00
mouse	Efhd2	Efhd2	ENSG00000142634	EFHD2	mapped		2026-05-26T14:32:44+00:00
mouse	Efna5	Efna5	ENSG00000184349	EFNA5	mapped		2026-05-26T14:32:47+00:00
mouse	Efnb2	Efnb2	ENSG00000125266	EFNB2	mapped		2026-05-26T14:32:51+00:00
mouse	Egfl6	Egfl6	ENSG00000198759	EGFL6	mapped		2026-05-26T14:32:54+00:00
mouse	Egflam	Egflam	ENSG00000164318	EGFLAM	mapped		2026-05-26T14:32:57+00:00
mouse	Egfr	Egfr	ENSG00000146648	EGFR	mapped		2026-05-26T14:33:01+00:00
mouse	Egln1	Egln1	ENSG00000135766	EGLN1	mapped		2026-05-26T14:33:05+00:00
mouse	Egr1	Egr1	ENSG00000120738	EGR1	mapped		2026-05-26T14:33:08+00:00
mouse	Egr2	Egr2	ENSG00000122877	EGR2	mapped		2026-05-26T14:33:11+00:00
mouse	Egr4	Egr4	ENSG00000135625	EGR4	mapped		2026-05-26T14:33:14+00:00
mouse	Ehd1	Ehd1	ENSG00000110047	EHD1	mapped		2026-05-26T14:33:17+00:00
mouse	Eif4ebp2	Eif4ebp2	ENSG00000148730	EIF4EBP2	mapped		2026-05-26T14:33:21+00:00
mouse	Elf2	Elf2	ENSG00000109381	ELF2	mapped		2026-05-26T14:33:24+00:00
mouse	Elfn1	Elfn1	ENSG00000225968	ELFN1	mapped		2026-05-26T14:33:27+00:00
mouse	Ell2	Ell2	ENSG00000118985	ELL2	mapped		2026-05-26T14:33:31+00:00
mouse	Elovl5	Elovl5	ENSG00000012660	ELOVL5	mapped		2026-05-26T14:33:34+00:00
mouse	Emilin1	Emilin1	ENSG00000138080	EMILIN1	mapped		2026-05-26T14:33:37+00:00
mouse	Emp1	Emp1	ENSG00000134531	EMP1	mapped		2026-05-26T14:33:39+00:00
mouse	Emp2	Emp2	ENSG00000213853	EMP2	mapped		2026-05-26T14:33:42+00:00
mouse	Emp3	Emp3	ENSG00000142227	EMP3	mapped		2026-05-26T14:33:45+00:00
mouse	Emx1	Emx1	ENSG00000135638	EMX1	mapped		2026-05-26T14:33:48+00:00
mouse	Emx2	Emx2	ENSG00000170370	EMX2	mapped		2026-05-26T14:33:51+00:00
mouse	Emx2os	Emx2os			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:33:54+00:00
mouse	En1	En1	ENSG00000163064	EN1	mapped		2026-05-26T14:33:57+00:00
mouse	Endou	Endou	ENSG00000111405	ENDOU	mapped		2026-05-26T14:34:00+00:00
mouse	Enox1	Enox1	ENSG00000120658	ENOX1	mapped		2026-05-26T14:34:03+00:00
mouse	Enpp2	Enpp2	ENSG00000136960	ENPP2	mapped		2026-05-26T14:34:10+00:00
mouse	Enpp6	Enpp6	ENSG00000164303	ENPP6	mapped		2026-05-26T14:34:13+00:00
mouse	Eomes	Eomes	ENSG00000163508	EOMES	mapped		2026-05-26T14:34:16+00:00
mouse	Epas1	Epas1	ENSG00000116016	EPAS1	mapped		2026-05-26T14:34:20+00:00
mouse	Ephb1	Ephb1	ENSG00000154928	EPHB1	mapped		2026-05-26T14:34:23+00:00
mouse	Eprs	Eprs			unmapped	ensembl_request_failed:HTTPError	2026-05-26T14:34:24+00:00
mouse	Eps15	Eps15	ENSG00000085832	EPS15	mapped		2026-05-26T14:34:27+00:00
mouse	Eps15l1	Eps15l1	ENSG00000127527	EPS15L1	mapped		2026-05-26T14:34:31+00:00
mouse	Eps8	Eps8	ENSG00000151491	EPS8	mapped		2026-05-26T14:34:34+00:00
mouse	Epyc	Epyc	ENSG00000083782	EPYC	mapped		2026-05-26T14:34:41+00:00
mouse	Erbb2	Erbb2	ENSG00000141736	ERBB2	mapped		2026-05-26T14:34:44+00:00
mouse	Erbb4	Erbb4	ENSG00000178568	ERBB4	mapped		2026-05-26T14:34:47+00:00
mouse	Erc1	Erc1	ENSG00000082805	ERC1	mapped		2026-05-26T14:34:51+00:00
mouse	Erg	Erg	ENSG00000157554	ERG	mapped		2026-05-26T14:34:54+00:00
mouse	Ermn	Ermn	ENSG00000136541	ERMN	mapped		2026-05-26T14:34:57+00:00
mouse	Errfi1	Errfi1	ENSG00000116285	ERRFI1	mapped		2026-05-26T14:35:00+00:00
mouse	Esam	Esam	ENSG00000149564	ESAM	mapped		2026-05-26T14:35:03+00:00
mouse	Espn	Espn	ENSG00000187017	ESPN	mapped		2026-05-26T14:35:06+00:00
mouse	Etv5	Etv5	ENSG00000244405	ETV5	mapped		2026-05-26T14:35:09+00:00
mouse	Evx1os	Evx1os			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:35:12+00:00
mouse	Exoc2	Exoc2	ENSG00000112685	EXOC2	mapped		2026-05-26T14:35:15+00:00
mouse	Eya1	Eya1	ENSG00000104313	EYA1	mapped		2026-05-26T14:35:18+00:00
mouse	F13a1	F13a1	ENSG00000124491	F13A1	mapped		2026-05-26T14:35:21+00:00
mouse	F2rl1	F2rl1	ENSG00000164251	F2RL1	mapped		2026-05-26T14:35:24+00:00
mouse	Fabp5	Fabp5	ENSG00000164687	FABP5	mapped		2026-05-26T14:35:27+00:00
mouse	Fabp7	Fabp7	ENSG00000164434	FABP7	mapped		2026-05-26T14:35:30+00:00
mouse	Fam107a	Fam107a	ENSG00000168309	FAM107A	mapped		2026-05-26T14:35:33+00:00
mouse	Fam129a	Fam129a			unmapped	ensembl_request_failed:HTTPError	2026-05-26T14:35:35+00:00
mouse	Fam180a	Fam180a	ENSG00000189320	FAM180A	mapped		2026-05-26T14:35:38+00:00
mouse	Fam181b	Fam181b	ENSG00000182103	FAM181B	mapped		2026-05-26T14:35:41+00:00
mouse	Fam183b	Fam183b			unmapped	ensembl_request_failed:HTTPError	2026-05-26T14:35:42+00:00
mouse	Fam184a	Fam184a	ENSG00000111879	FAM184A	mapped		2026-05-26T14:35:45+00:00
mouse	Fam20a	Fam20a	ENSG00000108950	FAM20A	mapped		2026-05-26T14:35:50+00:00
mouse	Fam20c	Fam20c	ENSG00000177706	FAM20C	mapped		2026-05-26T14:35:52+00:00
mouse	Fam214a	Fam214a			unmapped	ensembl_request_failed:HTTPError	2026-05-26T14:35:53+00:00
